latent_dim,modality,orig_index,class_idx,class_name,PC1,PC2,PC3
128,PROT,915,12,monocyte,0.7606699,-0.43842426,0.13390288
128,PROT,916,12,monocyte,0.7697968,-0.4417608,0.122492686
128,PROT,917,10,macrophage,0.3719397,0.16480231,-0.035362933
128,PROT,918,12,monocyte,0.77662766,-0.4285822,0.088824004
128,PROT,919,12,monocyte,0.7467648,-0.44888258,0.13354892
128,PROT,920,12,monocyte,0.7525516,-0.45158172,0.116595134
128,PROT,921,10,macrophage,0.3753592,0.16281927,-0.039755683
128,PROT,922,12,monocyte,0.8416628,-0.4726837,0.1450548
128,PROT,923,12,monocyte,0.74979174,-0.45460606,0.12891074
128,PROT,924,12,monocyte,0.8402735,-0.5240941,0.16566816
